name,ctp,yaw,ct,cp,u4,v4,an,p1,p4,dp,x0,dv,du
yaw_06_ct_19,8.0,30.0,1.1179872293968056,0.4179364703063006,0.14082638019604543,-0.11441662041939672,0.5683390162413707,0.004867419130210109,-0.06236669154648253,-0.06723411067669263,2.9000000000000004,0.11441662041939672,0.8591736198039546
yaw_06_ct_21,8.8,30.0,1.1294620548469774,0.4046375025256545,0.13258433708598483,-0.11484575881553566,0.586320638210275,0.004978972212699489,-0.06693664252346443,-0.07191561473616392,2.8000000000000007,0.11484575881553566,0.8674156629140152
yaw_06_ct_23,9.6,30.0,1.1387628085208577,0.3922060564355871,0.12475315147729273,-0.11422651619141293,0.6023047634388206,0.00507414298159562,-0.0719970117813926,-0.07707115476298822,2.7,0.11422651619141293,0.8752468485227073
yaw_08_ct_00,0.4,40.0,0.20291033459738128,0.14451943494595434,0.8940604250574425,-0.03821160389953852,0.07024585907382586,0.0004115932912110942,-0.0006131940964426789,-0.001024787387653773,10.3,0.03821160389953852,0.10593957494255746
yaw_08_ct_01,0.8,40.0,0.3570349592726019,0.2385179785728103,0.8049410820807344,-0.06574961531755884,0.1279198303155069,0.0007721012702423311,-0.001506669545700366,-0.002278770815942697,7.0,0.06574961531755884,0.19505891791926555
yaw_08_ct_02,1.2,40.0,0.47761550978948786,0.3013193410535119,0.7286472837615426,-0.08628195481695829,0.17644118298959277,0.0010944600350574162,-0.0028690075966129815,-0.0039634676316703974,5.100000000000001,0.08628195481695829,0.27135271623845736
yaw_08_ct_03,1.6,40.0,0.5741816927207217,0.3439648156294851,0.6620734001257192,-0.10187175458569539,0.21799287004617085,0.0013641050316010991,-0.004055150523269071,-0.00541925555487017,4.9,0.10187175458569539,0.33792659987428075
yaw_08_ct_04,2.0,40.0,0.6529297650565444,0.37306516872209167,0.6030304746375053,-0.11361997656465653,0.2541280598478769,0.0016047919135893749,-0.005099281054733047,-0.0067040729683224215,5.300000000000001,0.11361997656465653,0.39696952536249475
yaw_08_ct_05,2.4,40.0,0.7180371595645223,0.3927487030088857,0.5518201857786426,-0.12270122115126125,0.28597425223154227,0.0018164809016102807,-0.00693806771563697,-0.00875454861724725,4.700000000000001,0.12270122115126125,0.44817981422135744
yaw_08_ct_06,2.8,40.0,0.7723844854761838,0.40566850999531995,0.505690598208221,-0.12966455937131505,0.31437950922334557,0.002011953821774703,-0.009183947856591603,-0.011195901678366305,3.9000000000000004,0.12966455937131505,0.49430940179177896
yaw_08_ct_07,3.2,40.0,0.818302057399159,0.4138047537383746,0.4643240148891333,-0.13495837064511057,0.33987243829337377,0.00217909484981663,-0.011297997674079335,-0.013477092523895964,3.8000000000000007,0.13495837064511057,0.5356759851108668
yaw_08_ct_08,3.6,40.0,0.8573060850217529,0.4183623646682957,0.42688601252824276,-0.13901496104277233,0.3629658182043294,0.0023301272245528975,-0.013676573651088904,-0.0160067008756418,3.5999999999999996,0.13901496104277233,0.5731139874717572
yaw_08_ct_09,4.0,40.0,0.8906085457152587,0.4202428096303345,0.39436668313219814,-0.14207160339708047,0.3840301335303965,0.0024785748202401626,-0.016554270329692432,-0.019032845149932594,3.3000000000000007,0.14207160339708047,0.6056333168678019
yaw_08_ct_11,4.8,40.0,0.9438661495137863,0.4185477366678472,0.3393417798723219,-0.14663737799897036,0.4211305632041271,0.002726792369896511,-0.02244293137850133,-0.02516972374839784,2.9000000000000004,0.14663737799897036,0.660658220127678
yaw_08_ct_13,5.6,40.0,0.9839179249087456,0.4124243469124265,0.29581823778665417,-0.1501357302742049,0.4528184362455653,0.0029346077965217584,-0.027516372072734954,-0.03045097986925671,3.0999999999999996,0.1501357302742049,0.7041817622133458
yaw_08_ct_15,6.4,40.0,1.0146487994260869,0.40400210853774016,0.26158394846559624,-0.1523316512964517,0.48022675659885383,0.0031090042240488128,-0.03365758919501729,-0.0367665934190661,2.9000000000000004,0.1523316512964517,0.7384160515344038
yaw_08_ct_17,7.2,40.0,1.0384412511383625,0.3943725235112017,0.23577016196102699,-0.15354079126283604,0.504240835637515,0.0032546506168682093,-0.0392995427160962,-0.04255419333296441,2.7,0.15354079126283604,0.764229838038973
yaw_08_ct_19,8.0,40.0,1.0572195665468298,0.3843286805257719,0.2159307904899553,-0.15426877514981252,0.5254481879327042,0.0033850061182753473,-0.043510951150008095,-0.04689595726828344,2.8000000000000007,0.15426877514981252,0.7840692095100447
yaw_08_ct_21,8.8,40.0,1.071801172811326,0.3740502986437014,0.1971409189056976,-0.15531521824081773,0.5444229780551295,0.0035173730697534316,-0.04682363205248072,-0.05034100512223415,2.8000000000000007,0.15531521824081773,0.8028590810943024
yaw_08_ct_23,9.6,40.0,1.084046343353353,0.3642806952135681,0.18426539931604854,-0.1556681035265853,0.5613336294979616,0.003621706938716304,-0.050500994424602715,-0.054122701363319016,2.8000000000000007,0.1556681035265853,0.8157346006839514
